B0,ConKingdom,Habitat,OriginalTraitName,Rsqu,T0,Tm,aic,aicc,bic,id
9.134537698206637e-05,Metazoa,freshwater,Relative Growth Rate,-14.823552803672184,16.3,24.0,-119.42092711229836,-119.08759377896503,-117.50375512345258,189
8.898724724466603e-05,Metazoa,freshwater,Relative Growth Rate,-15.36653432849607,16.3,24.0,-130.55004250699272,-130.21670917365938,-128.63287051814694,190
0.00010813287306919755,Metazoa,freshwater,Relative Growth Rate,-7.58090345386109,16.3,24.0,-147.3288884634722,-147.06222179680552,-144.82924843130354,191
6.484790218241845e-05,Metazoa,freshwater,Relative Growth Rate,-11.646207877609543,16.3,24.0,-131.34426498298072,-131.01093164964738,-129.42709299413494,192
9.95907855200842e-05,Metazoa,freshwater,Relative Growth Rate,-8.984223907752659,16.3,24.0,-74.62058072449992,-74.04915215307135,-74.02890699249126,193
0.00010211328266007763,Metazoa,freshwater,Relative Growth Rate,-5.913159701020414,16.3,24.0,-112.91175246495287,-112.54811610131651,-111.21690439256825,194
7.934917343694734e-05,Metazoa,freshwater,Relative Growth Rate,-10.995658333048619,16.3,24.0,-129.53826382877145,-129.2049304954381,-127.62109183992567,195
7.680821819884764e-05,Metazoa,freshwater,Relative Growth Rate,-9.454867052852428,16.3,24.0,-137.86591723343815,-137.55822492574583,-135.74176663013154,196
9.779409231936597e-05,Metazoa,freshwater,Relative Growth Rate,-4.821834208551054,16.3,24.0,-164.4512235421232,-164.21592942447612,-161.61790660462387,197
0.00010427631925760835,Metazoa,freshwater,Relative Growth Rate,-7.557659227275179,16.3,24.0,-155.52104331654334,-155.27104331654334,-152.84992804285486,198
0.00010698194268380348,Metazoa,freshwater,Relative Growth Rate,-6.899341681237345,16.3,24.0,-137.18606958051825,-136.90035529480397,-134.8683034137989,199
0.00010007064019450468,Metazoa,freshwater,Relative Growth Rate,-5.874509635933631,16.3,24.0,-157.50673297513032,-157.25673297513032,-154.83561770144183,200
0.00011924868377446867,Metazoa,freshwater,Relative Growth Rate,-6.236742169440678,16.3,24.0,-156.0175156162383,-155.7675156162383,-153.34640034254983,201
9.250447908729038e-05,Metazoa,freshwater,Relative Growth Rate,-4.85240471824714,16.3,24.0,-158.84112892354264,-158.59112892354264,-156.17001364985416,202
0.00010457899693499898,Metazoa,freshwater,Relative Growth Rate,-7.27862451127384,16.3,24.0,-165.94494452781854,-165.70965041017146,-163.11162759031922,203
0.00010062952691243538,Metazoa,freshwater,Relative Growth Rate,-14.939313462369716,16.3,24.0,-116.71434200722081,-116.38100867388748,-114.79717001837503,204
9.700356967572744e-05,Metazoa,freshwater,Relative Growth Rate,-6.7350777260781065,16.3,24.0,-155.65490577163212,-155.40490577163212,-152.98379049794363,205
8.211526284648025e-05,Metazoa,freshwater,Relative Growth Rate,-11.312836057463455,16.3,24.0,-135.74297565985432,-135.435283352162,-133.6188250565477,206
9.787486639590754e-05,Metazoa,freshwater,Relative Growth Rate,-7.823774426743958,16.3,24.0,-153.65391170852698,-153.40391170852698,-150.9827964348385,207
8.725494272980828e-05,Metazoa,freshwater,Relative Growth Rate,-5.305100064193487,16.3,24.0,-162.2694000200077,-162.0194000200077,-159.59828474631922,208
6.986742653845168e-05,Metazoa,freshwater,Relative Growth Rate,-7.787353230770451,16.3,24.0,-139.28298046013904,-138.99726617442477,-136.9652142934197,209
